,index,from_npi,to_npi,patient_count,transaction_count,average_day_wait,std_day_wait,from_zip,from_npi_specialty,from_entity_type_code,to_zip,to_npi_specialty,to_entity_type_code,to_facility,to_facility_group,to_facility_name_normalised
77,3665192,1316902703,1861479545,56,59,23.593,36.499,37232,Radiology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
78,3665196,1316949191,1861479545,2842,3224,11.346,38.649,38401,Radiology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
79,3665197,1316975485,1861479545,75,113,46.212,50.736,37232,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
80,3665199,1326101924,1861479545,776,1055,33.298,52.281,37232,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
81,3665203,1346477221,1861479545,59,98,7.02,10.979,38401,Anesthesiology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
82,3665206,1356304984,1861479545,46,97,22.825,34.556,37174,Family Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
83,3665208,1336200385,1861479545,341,433,5.887,20.646,38401,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
84,3665209,1336144245,1861479545,149,282,12.741,37.079,38401,Neurological Surgery,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
85,3665214,1346318433,1861479545,39,79,20.62,24.29,38402,Counselor,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
86,3665218,1336416189,1861479545,46,51,14.373,38.288,38401,Nurse Practitioner,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
87,4132732,1467428680,1861479545,449,842,29.247,52.31,38401,Family Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
88,4132733,1467418087,1861479545,716,928,20.73,51.57,38401,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
89,4132734,1467406314,1861479545,1141,1369,23.663,49.422,37232,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
90,4132737,1477640589,1861479545,54,56,48.429,56.528,37232,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
91,4132738,1477549491,1861479545,164,165,2.655,13.315,37205,Anesthesiology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
92,4132739,1487749446,1861479545,44,84,20.238,40.581,38474,Family Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
93,4132744,1457430613,1861479545,165,263,25.749,46.509,38401,Nurse Practitioner,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
94,4132746,1457471641,1861479545,48,64,21.453,30.637,38401,Nurse Practitioner,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
95,4132748,1457351165,1861479545,60,62,6.113,29.778,37232,Emergency Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
96,4132749,1487726709,1861479545,66,122,28.934,27.96,38401,Psychiatry & Neurology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
97,4132750,1487680237,1861479545,45,53,42.604,47.403,37064,Podiatrist,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
98,6886499,1366599243,1861479545,1868,2059,12.249,40.841,38401,Radiology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
99,6886502,1386710051,1861479545,372,434,3.152,7.531,38401,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
100,6886503,1386729085,1861479545,140,191,49.257,48.402,37203,Ophthalmology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
101,6886504,1386698058,1861479545,335,376,21.271,52.43,37129,Family Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
102,6886506,1386600906,1861479545,598,794,18.427,48.982,38401,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
103,6886507,1376965129,1861479545,310,317,17.574,46.13,38401,Physician Assistant,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
104,6886511,1366777864,1861479545,237,252,39.46,61.942,37205,"Nurse Anesthetist, Certified Registered",1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
105,6886513,1376508374,1861479545,1271,1657,11.188,41.192,38401,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
106,6886516,1376635052,1861479545,389,609,28.752,51.975,38474,Family Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
107,8261575,1073566212,1861479545,383,561,39.424,63.022,38401,Orthopaedic Surgery,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
108,8261588,1063449627,1861479545,219,222,2.108,10.623,38401,Specialist,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
109,8261592,1053421941,1861479545,37,55,47.382,48.405,37211,Podiatrist,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
110,8261599,1043484447,1861479545,410,689,27.284,50.696,38401,Orthopaedic Surgery,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
111,8261600,1043480676,1861479545,63,78,28.282,50.742,38401,Nurse Practitioner,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
112,8261601,1043475288,1861479545,205,309,30.133,54.643,37232,Psychiatry & Neurology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
113,8261606,1073905774,1861479545,113,165,37.255,54.943,37067,Nurse Practitioner,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
114,8261607,1083606248,1861479545,126,174,44.006,48.468,37205,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
115,8261608,1083601397,1861479545,79,117,43.872,59.308,37067,Orthopaedic Surgery,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
116,9356436,1689820912,1861479545,87,106,15.443,23.369,37232,Psychiatry & Neurology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
117,9356439,1689784555,1861479545,150,269,14.413,27.146,38401,Family Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
118,9356440,1700871191,1861479545,162,170,2.947,6.247,37067,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
119,9356444,1710032255,1861479545,96,198,12.621,35.512,37205,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
120,9356445,1700213691,1861479545,352,455,42.884,61.808,38401,Nurse Practitioner,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
121,9356446,1700162450,1861479545,140,142,7.775,27.313,37205,"Nurse Anesthetist, Certified Registered",1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
122,9356447,1700802618,1861479545,53,58,37.983,52.496,37067,Emergency Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
123,9356449,1700845955,1861479545,87,115,24.617,54.07,38401,Obstetrics & Gynecology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
124,9356451,1689101503,1861479545,67,69,32.667,44.079,38401,Nurse Practitioner,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
125,10813801,1730145285,1861479545,43,62,32.758,34.701,37128,Psychiatry & Neurology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
126,10813805,1740258011,1861479545,450,950,16.337,30.203,38401,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
127,10813806,1740276724,1861479545,1129,1189,28.634,58.415,38401,Radiology,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
128,10813810,1750324315,1861479545,206,231,10.788,36.317,37232,Internal Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
129,10813811,1750494969,1861479545,122,184,29.239,43.394,37174,Family Medicine,1.0,38401,General Acute Care Hospital,2.0,MAURY REGIONAL HOSPITAL,Maury Regional Medical Center,Maury Regional Medical Center
